date,AAPL,AMGN,AXP,JPM,MSFT
2019-09-04,100,100,100,0,0
2019-09-05,100,100,100,0,0
2019-09-06,100,100,-100,0,0
2019-09-09,100,100,100,0,0
2019-09-10,100,100,100,0,0
2019-09-11,100,100,100,0,0
2019-09-12,100,100,100,0,0
2019-09-13,100,100,100,0,0
2019-09-16,100,100,100,0,0
2019-09-17,100,100,-100,0,0
2019-09-18,100,100,100,0,0
2019-09-19,100,100,100,0,0
2019-09-20,100,100,100,0,0
2019-09-23,100,100,100,0,0
2019-09-24,100,100,100,0,0
2019-09-25,100,100,100,0,0
2019-09-26,100,100,100,0,0
2019-09-27,100,100,100,0,0
2019-09-30,100,100,100,0,0
2019-10-01,100,100,100,0,0
2019-10-02,100,100,100,0,0
2019-10-03,100,100,65,0,0
2019-10-04,100,100,18,0,0
2019-10-07,100,100,100,0,0
2019-10-08,100,100,100,0,0
2019-10-09,100,100,100,0,0
2019-10-10,100,100,100,0,0
2019-10-11,100,100,100,0,0
2019-10-14,100,100,100,0,0
2019-10-15,100,100,100,0,0
2019-10-16,100,100,100,0,0
2019-10-17,100,100,100,0,0
2019-10-18,100,100,100,0,0
2019-10-21,100,100,100,0,0
2019-10-22,100,100,100,0,0
2019-10-23,100,100,100,0,0
2019-10-24,100,100,100,0,0
2019-10-25,100,100,64,0,0
2019-10-28,100,100,100,0,0
2019-10-29,100,100,55,0,0
2019-10-30,100,100,100,0,0
2019-10-31,100,100,100,0,0
2019-11-01,100,100,100,0,0
2019-11-04,100,100,100,0,0
2019-11-05,100,100,89,0,0
2019-11-06,100,100,100,0,0
2019-11-07,100,100,100,0,0
2019-11-08,100,100,100,0,0
2019-11-11,100,100,100,0,0
2019-11-12,100,100,100,0,0
2019-11-13,100,100,100,0,0
2019-11-14,100,100,100,0,0
2019-11-15,100,100,100,0,0
2019-11-18,100,100,100,0,0
2019-11-19,100,100,100,0,0
2019-11-20,100,100,100,0,0
2019-11-21,100,100,100,0,0
2019-11-22,100,100,100,0,0
2019-11-25,100,100,100,0,0
2019-11-26,8,100,-2,0,0
2019-11-27,0,0,0,0,0
2019-11-29,0,0,0,0,0
2019-12-02,2,17,-33,0,0
2019-12-03,2,53,-100,0,0
2019-12-04,1,49,-91,0,0
2019-12-05,0,0,0,0,0
2019-12-06,0,0,0,0,0
2019-12-09,1,55,-100,0,0
2019-12-10,2,46,-84,0,0
2019-12-11,0,0,0,0,0
2019-12-12,2,55,-100,0,0
2019-12-13,0,0,0,0,0
2019-12-16,0,0,0,0,0
2019-12-17,1,11,-21,0,0
2019-12-18,1,28,-51,0,0
2019-12-19,0,55,-100,0,0
2019-12-20,2,55,-100,0,0
2019-12-23,0,33,-60,0,0
2019-12-24,2,45,-83,0,0
2019-12-26,1,55,-100,0,0
2019-12-27,1,12,-22,0,0
2019-12-30,2,10,-19,0,0
2019-12-31,1,8,-15,0,0
2020-01-02,0,56,-100,0,0
2020-01-03,0,20,-35,0,0
2020-01-06,1,55,-100,0,0
2020-01-07,2,55,-100,0,0
2020-01-08,2,56,-100,0,0
2020-01-09,1,57,-100,0,0
2020-01-10,1,57,-100,0,0
2020-01-13,0,0,0,0,0
2020-01-14,2,57,-100,0,0
2020-01-15,2,57,-100,0,0
2020-01-16,1,58,-100,0,0
2020-01-17,0,17,-29,0,0
2020-01-21,2,39,-67,0,0
2020-01-22,1,59,-100,0,0
2020-01-23,1,60,-100,0,0
2020-01-24,-8245,-9590,-5216,0,0
2020-01-27,100,100,100,0,0
2020-01-28,100,100,100,0,0
2020-01-29,100,100,100,0,0
2020-01-30,100,100,100,0,0
2020-01-31,100,100,51,0,0
2020-02-03,100,100,59,0,0
2020-02-04,100,100,28,0,0
2020-02-05,100,100,-48,0,0
2020-02-06,100,100,26,0,0
2020-02-07,100,100,100,0,0
2020-02-10,100,100,100,0,0
2020-02-11,100,100,100,0,0
2020-02-12,100,100,-100,0,0
2020-02-13,100,100,100,0,0
2020-02-14,100,100,100,0,0
2020-02-18,100,100,100,0,0
2020-02-19,100,100,-2,0,0
2020-02-20,100,100,100,0,0
2020-02-21,100,100,100,0,0
2020-02-24,100,100,100,0,0
2020-02-25,100,100,-25,0,0
2020-02-26,100,100,43,0,0
2020-02-27,100,100,-6,0,0
2020-02-28,100,100,100,0,0
2020-03-02,100,100,-51,0,0
2020-03-03,100,100,91,0,0
2020-03-04,100,100,100,0,0
2020-03-05,100,100,-100,0,0
2020-03-06,100,100,100,0,0
2020-03-09,-2900,-2900,-1566,0,0
2020-03-10,100,100,100,0,0
2020-03-11,100,100,100,0,0
2020-03-12,-200,-200,-200,0,0
2020-03-13,0,0,0,0,0
2020-03-16,0,0,0,0,0
2020-03-17,0,0,0,0,0
2020-03-18,0,0,0,0,0
2020-03-19,100,100,81,0,0
2020-03-20,100,100,-81,0,0
2020-03-23,100,100,0,0,0
2020-03-24,-300,-300,0,0,0
2020-03-25,100,100,0,0,0
2020-03-26,100,100,0,0,0
2020-03-27,100,100,0,0,0
2020-03-30,100,100,0,0,0
2020-03-31,100,100,0,0,0
2020-04-01,100,100,0,0,0
2020-04-02,100,100,43,0,0
2020-04-03,100,100,-8,0,0
2020-04-06,100,100,56,0,0
2020-04-07,100,100,-91,0,0
2020-04-08,100,100,0,0,0
2020-04-09,100,100,7,0,0
2020-04-13,100,100,-7,0,0
2020-04-14,100,100,0,0,0
2020-04-15,100,100,0,0,0
2020-04-16,100,100,100,0,0
2020-04-17,100,100,58,0,0
2020-04-20,100,100,-8,0,0
2020-04-21,100,100,-61,0,0
2020-04-22,100,100,-89,0,0
2020-04-23,100,100,0,0,0
2020-04-24,100,100,0,0,0
2020-04-27,100,100,0,0,0
2020-04-28,100,100,0,0,0
2020-04-29,100,100,0,0,0
2020-04-30,100,100,0,0,0
2020-05-01,100,100,0,0,0
2020-05-04,100,100,0,0,0
2020-05-05,100,100,0,0,0
2020-05-06,100,100,0,0,0
2020-05-07,100,100,0,0,0
2020-05-08,100,100,0,0,0
2020-05-11,100,100,0,0,0
2020-05-12,100,100,0,0,0
2020-05-13,100,100,0,0,0
2020-05-14,100,100,0,0,0
2020-05-15,100,100,0,0,0
2020-05-18,100,100,0,0,0
2020-05-19,100,100,0,0,0
2020-05-20,100,100,0,0,0
2020-05-21,100,100,0,0,0
2020-05-22,100,100,0,0,0
2020-05-26,100,100,0,0,0
2020-05-27,100,100,0,0,0
2020-05-28,100,100,0,0,0
2020-05-29,100,100,0,0,0
2020-06-01,100,100,0,0,0
2020-06-02,100,100,0,0,0
2020-06-03,100,100,0,0,0
2020-06-04,100,100,0,0,0
2020-06-05,100,100,0,0,0
2020-06-08,100,100,0,0,0
2020-06-09,100,100,0,0,0
2020-06-10,100,100,0,0,0
2020-06-11,100,100,0,0,0
2020-06-12,100,100,0,0,0
2020-06-15,100,100,0,0,0
2020-06-16,100,100,0,0,0
2020-06-17,100,100,79,0,0
2020-06-18,100,100,-79,0,0
2020-06-19,100,100,0,0,0
2020-06-22,100,100,0,0,0
2020-06-23,100,100,0,0,0
2020-06-24,100,100,0,0,0
2020-06-25,100,100,0,0,0
2020-06-26,100,100,0,0,0
2020-06-29,100,100,0,0,0
2020-06-30,100,100,0,0,0
2020-07-01,100,100,0,0,0
2020-07-02,100,100,0,0,0
2020-07-06,100,100,0,0,0
2020-07-07,100,100,0,0,0
2020-07-08,100,100,0,0,0
2020-07-09,100,100,0,0,0
2020-07-10,100,100,0,0,0
2020-07-13,100,100,0,0,0
2020-07-14,100,100,0,0,0
2020-07-15,100,100,0,0,0
2020-07-16,100,100,0,0,0
2020-07-17,100,100,0,0,0
2020-07-20,100,100,0,0,0
2020-07-21,100,100,0,0,0
2020-07-22,100,100,0,0,0
2020-07-23,100,100,0,0,0
2020-07-24,100,100,26,0,0
2020-07-27,100,100,-26,0,0
2020-07-28,100,100,0,0,0
2020-07-29,100,100,0,0,0
2020-07-30,100,100,0,0,0
2020-07-31,-8900,-8900,0,0,0
2020-08-03,100,100,7,0,0
2020-08-04,100,100,-7,0,0
2020-08-05,100,100,0,0,0
2020-08-06,100,100,0,0,0
2020-08-07,100,100,0,0,0
2020-08-10,100,100,0,0,0
2020-08-11,100,100,0,0,0
2020-08-12,100,100,0,0,0
2020-08-13,100,100,0,0,0
2020-08-14,100,100,0,0,0
2020-08-17,100,100,0,0,0
2020-08-18,100,100,0,0,0
2020-08-19,100,100,0,0,0
2020-08-20,100,100,0,0,0
2020-08-21,100,100,0,0,0
2020-08-24,100,100,0,0,0
2020-08-25,100,100,0,0,0
2020-08-26,100,100,0,0,0
2020-08-27,100,100,0,0,0
2020-08-28,100,100,0,0,0
2020-08-31,100,100,0,0,0
2020-09-01,100,100,0,0,0
2020-09-02,100,100,0,0,0
2020-09-03,100,100,0,0,0
2020-09-04,100,100,0,0,0
2020-09-08,100,100,0,0,0
2020-09-09,100,100,0,0,0
2020-09-10,100,100,0,0,0
2020-09-11,100,100,0,0,0
2020-09-14,100,100,0,0,0
2020-09-15,100,100,0,0,0
2020-09-16,100,100,0,0,0
2020-09-17,100,100,0,0,0
2020-09-18,100,100,0,0,0
2020-09-21,100,100,0,0,0
2020-09-22,100,100,0,0,0
2020-09-23,100,100,0,0,0
2020-09-24,100,100,0,0,0
2020-09-25,100,100,0,0,0
2020-09-28,100,100,0,0,0
2020-09-29,100,100,0,0,0
2020-09-30,100,100,0,0,0
2020-10-01,100,100,0,0,0
2020-10-02,100,100,0,0,0
2020-10-05,100,100,0,0,0
2020-10-06,100,100,0,0,0
2020-10-07,100,100,0,0,0
2020-10-08,100,100,0,0,0
2020-10-09,100,100,0,0,0
2020-10-12,100,100,0,0,0
2020-10-13,100,100,0,0,0
2020-10-14,100,100,0,0,0
2020-10-15,100,100,0,0,0
2020-10-16,100,100,0,0,0
2020-10-19,100,100,0,0,0
2020-10-20,100,100,0,0,0
2020-10-21,100,100,0,0,0
2020-10-22,100,100,0,0,0
2020-10-23,100,100,0,0,0
2020-10-26,100,100,0,0,0
2020-10-27,100,100,0,0,0
2020-10-28,100,100,0,0,0
2020-10-29,100,100,0,0,0
2020-10-30,100,100,0,0,0
2020-11-02,100,100,0,0,0
2020-11-03,100,100,0,0,0
2020-11-04,100,100,0,0,0
2020-11-05,100,100,0,0,0
2020-11-06,100,100,0,0,0
2020-11-09,-6900,-6900,0,0,0
2020-11-10,100,100,0,0,0
2020-11-11,100,100,0,0,0
2020-11-12,100,100,0,0,0
2020-11-13,100,100,0,0,0
2020-11-16,100,100,0,0,0
2020-11-17,100,100,0,0,0
2020-11-18,100,100,0,0,0
2020-11-19,100,100,0,0,0
2020-11-20,100,100,0,0,0
2020-11-23,100,100,0,0,0
2020-11-24,100,100,0,0,0
2020-11-25,100,100,0,0,0
2020-11-27,100,100,0,0,0
2020-11-30,100,100,0,0,0
2020-12-01,100,100,0,0,0
2020-12-02,100,100,0,0,0
2020-12-03,100,100,0,0,0
2020-12-04,100,100,0,0,0
2020-12-07,100,100,0,0,0
2020-12-08,100,100,0,0,0
2020-12-09,100,100,0,0,0
2020-12-10,100,100,0,0,0
2020-12-11,100,100,0,0,0
2020-12-14,100,100,0,0,0
2020-12-15,100,100,0,0,0
2020-12-16,100,100,0,0,0
2020-12-17,100,100,0,0,0
2020-12-18,100,100,0,0,0
2020-12-21,100,100,0,0,0
2020-12-22,100,100,0,0,0
2020-12-23,100,100,0,0,0
2020-12-24,100,100,0,0,0
2020-12-28,100,100,0,0,0
2020-12-29,100,100,0,0,0
2020-12-30,100,100,0,0,0
2020-12-31,100,100,0,0,0
2021-01-04,100,100,0,0,0
2021-01-05,100,100,0,0,0
2021-01-06,100,100,0,0,0
2021-01-07,100,100,0,0,0
2021-01-08,100,100,0,0,0
2021-01-11,100,100,0,0,0
2021-01-12,100,100,0,0,0
2021-01-13,100,100,0,0,0
2021-01-14,100,100,0,0,0
2021-01-15,100,100,0,0,0
2021-01-19,100,100,0,0,0
2021-01-20,100,100,0,0,0
2021-01-21,100,100,0,0,0
2021-01-22,100,100,0,0,0
2021-01-25,100,100,0,0,0
2021-01-26,100,100,0,0,0
2021-01-27,100,100,0,0,0
2021-01-28,100,100,0,0,0
2021-01-29,100,100,0,0,0
2021-02-01,100,100,0,0,0
2021-02-02,100,100,0,0,0
2021-02-03,100,100,0,0,0
2021-02-04,100,100,0,0,0
2021-02-05,100,100,0,0,0
2021-02-08,100,100,0,0,0
2021-02-09,100,100,0,0,0
2021-02-10,100,100,0,0,0
2021-02-11,100,100,0,0,0
2021-02-12,100,100,0,0,0
2021-02-16,100,100,0,0,0
2021-02-17,100,100,0,0,0
2021-02-18,100,100,0,0,0
2021-02-19,100,100,0,0,0
2021-02-22,100,100,0,0,0
2021-02-23,100,100,0,0,0
2021-02-24,100,100,0,0,0
2021-02-25,100,100,0,0,0
2021-02-26,100,100,0,0,0
2021-03-01,100,100,0,0,0
2021-03-02,100,100,0,0,0
2021-03-03,100,100,0,0,0
2021-03-04,100,100,0,0,0
2021-03-05,100,100,0,0,0
2021-03-08,100,100,0,0,0
2021-03-09,100,100,0,0,0
2021-03-10,100,100,0,0,0
2021-03-11,100,100,0,0,0
2021-03-12,100,100,0,0,0
2021-03-15,100,100,0,0,0
2021-03-16,100,100,0,0,0
2021-03-17,100,100,0,0,0
2021-03-18,100,100,0,0,0
2021-03-19,100,100,0,0,0
2021-03-22,100,100,0,0,0
2021-03-23,100,100,0,0,0
2021-03-24,100,100,0,0,0
2021-03-25,100,100,0,0,0
2021-03-26,100,100,0,0,0
2021-03-29,100,100,0,0,0
2021-03-30,100,100,0,0,0
2021-03-31,100,100,0,0,0
2021-04-01,100,100,0,0,0
2021-04-05,100,100,0,0,0
2021-04-06,0,44,0,0,0
2021-04-07,0,0,0,0,0
2021-04-08,0,0,0,0,0
2021-04-09,0,0,0,0,0
2021-04-12,0,0,0,0,0
2021-04-13,0,0,0,0,0
2021-04-14,0,0,0,0,0
2021-04-15,0,0,0,0,0
2021-04-16,0,0,0,0,0
2021-04-19,0,0,0,0,0
2021-04-20,0,0,0,0,0
2021-04-21,0,0,0,0,0
2021-04-22,0,0,0,0,0
2021-04-23,0,0,0,0,0
2021-04-26,0,0,0,0,0
2021-04-27,0,0,0,0,0
2021-04-28,0,0,0,0,0
2021-04-29,0,0,0,0,0
2021-04-30,0,0,0,0,0
2021-05-03,0,0,0,0,0
2021-05-04,0,0,0,0,0
2021-05-05,0,0,0,0,0
2021-05-06,0,0,0,0,0
2021-05-07,0,0,0,0,0
2021-05-10,0,0,0,0,0
2021-05-11,0,0,0,0,0
2021-05-12,0,0,0,0,0
2021-05-13,0,0,0,0,0
2021-05-14,0,0,0,0,0
2021-05-17,0,0,0,0,0
2021-05-18,0,0,0,0,0
2021-05-19,0,0,0,0,0
2021-05-20,0,0,0,0,0
2021-05-21,0,0,0,0,0
2021-05-24,0,0,0,0,0
2021-05-25,0,0,0,0,0
2021-05-26,0,0,0,0,0
2021-05-27,0,0,0,0,0
2021-05-28,0,0,0,0,0
2021-06-01,0,0,0,0,0
2021-06-02,0,0,0,0,0
2021-06-03,0,0,0,0,0
2021-06-04,0,0,0,0,0
2021-06-07,0,0,0,0,0
2021-06-08,0,0,0,0,0
2021-06-09,0,0,0,0,0
2021-06-10,0,0,0,0,0
2021-06-11,0,0,0,0,0
2021-06-14,0,0,0,0,0
2021-06-15,0,0,0,0,0
2021-06-16,0,0,0,0,0
2021-06-17,0,0,0,0,0
2021-06-18,0,0,0,0,0
2021-06-21,0,0,0,0,0
2021-06-22,0,0,0,0,0
2021-06-23,0,0,0,0,0
2021-06-24,0,0,0,0,0
2021-06-25,0,0,0,0,0
2021-06-28,0,0,0,0,0
2021-06-29,0,0,0,0,0
2021-06-30,0,0,0,0,0
2021-07-01,0,0,0,0,0
2021-07-02,0,0,0,0,0
2021-07-06,0,0,0,0,0
2021-07-07,0,0,0,0,0
2021-07-08,0,0,0,0,0
2021-07-09,0,0,0,0,0
2021-07-12,0,0,0,0,0
2021-07-13,0,0,0,0,0
2021-07-14,0,0,0,0,0
2021-07-15,0,0,0,0,0
2021-07-16,0,0,0,0,0
2021-07-19,0,0,0,0,0
2021-07-20,0,0,0,0,0
2021-07-21,0,0,0,0,0
2021-07-22,0,0,0,0,0
2021-07-23,0,0,0,0,0
2021-07-26,0,0,0,0,0
2021-07-27,0,0,0,0,0
2021-07-28,0,0,0,0,0
2021-07-29,0,0,0,0,0
2021-07-30,0,0,0,0,0
2021-08-02,0,0,0,0,0
2021-08-03,0,0,0,0,0
2021-08-04,0,0,0,0,0
2021-08-05,0,0,0,0,0
2021-08-06,0,0,0,0,0
2021-08-09,0,0,0,0,0
2021-08-10,0,0,0,0,0
2021-08-11,0,0,0,0,0
2021-08-12,0,0,0,0,0
2021-08-13,0,0,0,0,0
2021-08-16,74,-52,0,0,0
2021-08-17,0,0,0,0,0
2021-08-18,0,0,0,0,0
2021-08-19,0,0,0,0,0
2021-08-20,0,0,0,0,0
2021-08-23,0,0,0,0,0
2021-08-24,0,0,0,0,0
2021-08-25,0,0,0,0,0
2021-08-26,0,0,0,0,0
2021-08-27,45,-32,0,0,0
2021-08-30,0,0,0,0,0
2021-08-31,0,0,0,0,0
2021-09-01,0,0,0,0,0
2021-09-02,0,0,0,0,0
2021-09-03,0,0,0,0,0
2021-09-07,0,0,0,0,0
2021-09-08,0,0,0,0,0
2021-09-09,0,0,0,0,0
2021-09-10,0,0,0,0,0
2021-09-13,0,0,0,0,0
2021-09-14,0,0,0,0,0
2021-09-15,0,0,0,0,0
2021-09-16,0,0,0,0,0
2021-09-17,0,0,0,0,0
2021-09-20,0,0,0,0,0
2021-09-21,0,0,0,0,0
2021-09-22,0,0,0,0,0
2021-09-23,0,0,0,0,0
2021-09-24,0,0,0,0,0
2021-09-27,0,0,0,0,0
2021-09-28,0,0,0,0,0
2021-09-29,0,0,0,0,0
2021-09-30,26,-19,0,0,0
2021-10-01,0,0,0,0,0
2021-10-04,0,0,0,0,0
2021-10-05,0,0,0,0,0
2021-10-06,0,0,0,0,0
2021-10-07,0,0,0,0,0
2021-10-08,0,0,0,0,0
2021-10-11,0,0,0,0,0
2021-10-12,83,-62,0,0,0
2021-10-13,0,0,0,0,0
2021-10-14,0,0,0,0,0
2021-10-15,100,-100,0,0,0
2021-10-18,42,-7,0,0,0
2021-10-19,0,0,0,0,0
2021-10-20,0,0,0,0,0
2021-10-21,0,0,0,0,0
2021-10-22,25,-19,0,0,0
2021-10-25,0,0,0,0,0
2021-10-26,0,0,0,0,0
2021-10-27,86,-66,0,0,0
2021-10-28,0,0,0,0,0
2021-10-29,100,-92,0,17,0
2021-11-01,0,14,0,-17,0
2021-11-02,0,0,0,0,0
2021-11-03,0,0,0,0,0
2021-11-04,0,0,0,0,0
2021-11-05,0,0,0,0,0
2021-11-08,100,-100,0,29,0
2021-11-09,100,-75,0,-29,0
2021-11-10,100,-99,0,8,0
2021-11-11,1,46,0,-8,0
2021-11-12,100,-100,0,0,0
2021-11-15,100,-100,0,0,0
2021-11-16,0,47,0,0,0
2021-11-17,0,0,0,0,0
2021-11-18,100,-100,0,0,0
2021-11-19,0,18,0,0,0
2021-11-22,100,-100,0,0,0
2021-11-23,21,-3,0,0,0
2021-11-24,11,-9,0,0,0
2021-11-26,100,-100,0,0,0
2021-11-29,0,17,0,0,0
2021-11-30,45,-40,0,0,0
2021-12-01,6,-5,0,0,0
2021-12-02,0,0,0,0,0
2021-12-03,0,0,0,0,0
2021-12-06,93,-79,0,0,0
2021-12-07,100,-100,0,0,0
2021-12-08,100,-100,0,6,0
2021-12-09,49,-16,0,-6,0
2021-12-10,100,-100,0,0,0
2021-12-13,58,-42,0,0,0
2021-12-14,31,-27,0,0,0
2021-12-15,100,-100,0,0,0
2021-12-16,68,-43,0,0,0
2021-12-17,0,0,0,0,0
2021-12-20,0,0,0,0,0
2021-12-21,0,0,0,0,0
2021-12-22,0,0,0,0,0
2021-12-23,100,-100,0,0,0
2021-12-27,0,16,0,0,0
2021-12-28,0,0,0,0,0
2021-12-29,0,0,0,0,0
2021-12-30,0,0,0,0,0
2021-12-31,0,0,0,0,0
2022-01-03,6,-5,0,0,0
2022-01-04,0,0,0,0,0
2022-01-05,0,0,0,0,0
2022-01-06,65,-53,0,0,0
2022-01-07,0,0,0,0,0
2022-01-10,0,0,0,0,0
2022-01-11,12,-10,0,0,0
2022-01-12,0,0,0,0,0
2022-01-13,0,0,0,0,0
2022-01-14,40,-31,0,0,0
2022-01-18,0,0,0,0,0
2022-01-19,0,0,0,0,0
2022-01-20,0,0,0,0,0
2022-01-21,0,0,0,0,0
2022-01-24,100,-100,0,0,0
2022-01-25,-12387,-7916,0,0,0
2022-01-26,100,100,0,0,0
2022-01-27,100,100,0,0,0
2022-01-28,100,100,0,0,0
2022-01-31,100,100,0,0,0
2022-02-01,100,100,0,0,0
2022-02-02,100,100,0,0,0
2022-02-03,100,100,0,0,0
2022-02-04,100,100,0,0,0
2022-02-07,100,100,0,0,0
2022-02-08,100,100,0,0,0
2022-02-09,100,100,0,0,0
2022-02-10,100,100,0,0,0
2022-02-11,100,100,0,0,0
2022-02-14,100,100,0,0,0
2022-02-15,100,100,0,0,0
2022-02-16,100,100,0,0,0
2022-02-17,100,100,0,0,0
2022-02-18,100,100,0,0,0
2022-02-22,100,100,0,0,0
2022-02-23,100,100,0,0,0
2022-02-24,100,100,0,0,0
2022-02-25,100,100,0,0,0
2022-02-28,100,100,0,0,0
2022-03-01,100,100,0,0,0
2022-03-02,100,100,0,0,0
2022-03-03,100,100,0,0,0
2022-03-04,100,100,0,0,0
2022-03-07,100,100,0,0,0
2022-03-08,100,100,0,0,0
2022-03-09,100,100,0,0,0
2022-03-10,100,100,0,0,0
2022-03-11,100,100,0,0,0
2022-03-14,100,100,0,0,0
2022-03-15,100,100,0,0,0
2022-03-16,100,100,0,0,0
2022-03-17,100,100,0,0,0
2022-03-18,100,100,0,0,0
2022-03-21,100,100,0,0,0
2022-03-22,100,100,0,0,0
2022-03-23,100,100,0,0,0
2022-03-24,100,100,0,0,0
2022-03-25,100,100,0,0,0
2022-03-28,100,100,0,0,0
2022-03-29,100,100,0,0,0
2022-03-30,100,100,0,0,0
2022-03-31,100,100,0,0,0
2022-04-01,100,100,0,0,0
2022-04-04,100,100,0,0,0
2022-04-05,100,100,0,0,0
2022-04-06,100,100,0,0,0
2022-04-07,100,100,0,0,0
2022-04-08,100,100,0,0,0
2022-04-11,100,100,0,0,0
2022-04-12,100,100,0,0,0
2022-04-13,100,100,0,0,0
2022-04-14,100,100,0,0,0
2022-04-18,100,100,0,0,0
2022-04-19,100,100,0,0,0
2022-04-20,100,100,0,0,0
2022-04-21,100,100,0,0,0
2022-04-22,100,100,0,0,0
2022-04-25,100,100,0,0,0
2022-04-26,100,100,0,0,0
2022-04-27,100,100,0,0,0
2022-04-28,100,100,0,0,0
2022-04-29,100,100,0,0,0
2022-05-02,100,100,0,0,0
2022-05-03,100,100,0,0,0
2022-05-04,100,100,0,0,0
2022-05-05,100,100,0,0,0
2022-05-06,100,100,0,0,0
2022-05-09,100,100,0,0,0
2022-05-10,100,100,0,0,0
2022-05-11,100,100,0,0,0
2022-05-12,100,100,0,0,0
2022-05-13,100,100,0,0,0
2022-05-16,100,100,0,0,0
2022-05-17,100,100,0,0,0
2022-05-18,100,100,0,0,0
2022-05-19,100,100,0,0,0
2022-05-20,100,100,0,0,0
2022-05-23,100,100,0,0,0
2022-05-24,100,100,0,0,0
2022-05-25,100,100,0,0,0
2022-05-26,100,100,0,0,0
2022-05-27,100,100,0,0,0
2022-05-31,100,100,0,0,0
2022-06-01,100,100,0,0,0
2022-06-02,100,100,0,0,0
2022-06-03,100,100,0,0,0
2022-06-06,100,100,0,0,0
2022-06-07,100,100,0,0,0
2022-06-08,100,100,0,0,0
2022-06-09,100,100,0,0,0
2022-06-10,1,20,0,0,0
2022-06-13,0,0,0,0,0
2022-06-14,0,0,0,0,0
2022-06-15,0,0,0,0,0
2022-06-16,0,0,0,0,0
2022-06-17,0,0,0,0,0
2022-06-21,0,0,0,0,0
2022-06-22,0,0,0,0,0
2022-06-23,0,0,0,0,0
2022-06-24,0,0,0,0,0
2022-06-27,0,0,0,0,0
2022-06-28,100,-100,0,0,0
2022-06-29,0,40,0,0,0
2022-06-30,0,0,0,0,0
2022-07-01,76,-45,0,0,0
2022-07-05,0,0,0,0,0
2022-07-06,0,0,0,0,0
2022-07-07,0,0,0,0,0
2022-07-08,0,0,0,0,0
2022-07-11,90,-55,0,0,0
2022-07-12,0,0,0,0,0
2022-07-13,0,0,0,0,0
2022-07-14,0,0,0,0,0
2022-07-15,100,-94,0,0,0
2022-07-18,0,31,0,0,0
2022-07-19,0,0,0,0,0
2022-07-20,66,-43,0,0,0
2022-07-21,100,-100,0,0,0
2022-07-22,1,33,0,0,0
2022-07-25,0,0,0,0,0
2022-07-26,0,0,0,0,0
2022-07-27,0,0,0,0,0
2022-07-28,100,-100,0,5,0
2022-07-29,100,-100,0,100,0
2022-08-01,1,15,0,0,0
2022-08-02,0,0,0,0,0
2022-08-03,0,0,0,0,0
2022-08-04,34,-13,0,-24,0
2022-08-05,1,16,0,-35,0
2022-08-08,0,0,0,0,0
2022-08-09,1,21,0,-46,0
2022-08-10,0,0,0,0,0
2022-08-11,0,0,0,0,0
2022-08-12,0,0,0,0,0
2022-08-15,0,0,0,0,0
2022-08-16,0,0,0,0,0
2022-08-17,0,0,0,0,0
2022-08-18,0,0,0,0,0
2022-08-19,0,0,0,0,0
2022-08-22,0,0,0,0,0
2022-08-23,0,0,0,0,0
2022-08-24,0,0,0,0,0
2022-08-25,0,0,0,0,0
2022-08-26,0,0,0,0,0
2022-08-29,0,0,0,0,0
2022-08-30,0,0,0,0,0
2022-08-31,0,0,0,0,0
2022-09-01,0,0,0,0,0
2022-09-02,0,0,0,0,0
2022-09-06,0,0,0,0,0
2022-09-07,0,0,0,0,0
2022-09-08,0,0,0,0,0
2022-09-09,0,0,0,0,0
2022-09-12,75,-54,0,0,0
2022-09-13,0,0,0,0,0
2022-09-14,0,0,0,0,0
2022-09-15,0,0,0,0,0
2022-09-16,0,0,0,0,0
2022-09-19,0,0,0,0,0
2022-09-20,0,0,0,0,0
2022-09-21,0,0,0,0,0
2022-09-22,0,0,0,0,0
2022-09-23,0,0,0,0,0
2022-09-26,0,0,0,0,0
2022-09-27,0,0,0,0,0
2022-09-28,0,0,0,0,0
2022-09-29,0,0,0,0,0
2022-09-30,0,0,0,0,0
2022-10-03,0,0,0,0,0
2022-10-04,0,0,0,0,0
2022-10-05,0,0,0,0,0
2022-10-06,0,0,0,0,0
2022-10-07,0,0,0,0,0
2022-10-10,0,0,0,0,0
2022-10-11,0,0,0,0,0
2022-10-12,0,0,0,0,0
2022-10-13,0,0,0,0,0
2022-10-14,0,0,0,0,0
2022-10-17,0,0,0,0,0
2022-10-18,100,-100,0,57,0
2022-10-19,-74,0,0,0,59
2022-10-20,-92,0,13,100,0
2022-10-21,0,-100,0,0,100
2022-10-24,0,0,0,0,0
2022-10-25,-37,-100,-13,63,100
2022-10-26,-100,-32,0,1,100
2022-10-27,-100,0,0,0,64
2022-10-28,-100,-21,0,1,89
2022-10-31,-100,-100,100,100,62
2022-11-01,-63,-17,0,0,61
2022-11-02,-100,0,0,0,66
2022-11-03,-100,-62,0,68,100
2022-11-04,-100,-100,34,100,100
2022-11-07,-100,-100,34,100,100
2022-11-08,-100,0,0,0,61
2022-11-09,-100,-67,0,78,100
2022-11-10,-100,-100,34,100,100
2022-11-11,-100,0,0,0,61
2022-11-14,-100,-100,33,100,100
2022-11-15,-100,-100,34,100,100
2022-11-16,-100,-100,34,100,100
2022-11-17,-100,-100,39,100,100
2022-11-18,-100,-100,38,100,100
